ROCO_81826	 Model bone showing the extent of graft insertion
ROCO_81828	 Lip-together smile photograph
ROCO_81829	 Resection of superficial urothelial tissue to dissect the suture material.
ROCO_81830	 External appearance of the neck area revealed tiny pinkish papules.
ROCO_81831	 According to Junius and Kuhnt, the first drawing of disciform macular disease as seen in the eye by low magnification after removal of the anterior segment. It was called Choroido-retinitis in the region of the macula lutea. “Between the papilla and macula lutea is a whitish tract which extends downwards, becoming whiter, and terminates in a sharp point.” This atlas was published in English and German.49
ROCO_81832	 Significant decrease in size of pneumocephalus (subarachnoid and interventricular) (case 1).
ROCO_81833	 A) Gantzer muscle; B) Located posterior to the anterior interosseous nerve; C) Median nerve.
ROCO_81836	 Kayser-Fleischer ring.
ROCO_81837	 Insertion of a CVC in the right IJV under USG guidance. The image shows the position of the USG transducer and needle with respect to the clavicular head of the sternocleidomastoid muscle (CHSCM). H indicates the head end of the patient
ROCO_81838	 Relative migration rate values (N_m) between each population pair for the stepping stone model for the Western Alps region (mtCOI data). Arrows show inferred direction of effective migration. Pink line shows the maximum glacial expansion 20000 years bp; coloured areas represent inferred refugia on calcareous bedrock (yellow: refugia outside the LGM glacial extension; red: potential nunatak refugia below the permanent snowline, but within the maximum glacial expansion). Maximum extent of glaciation and inferred refugia were redrawn from Schönswetter et al. [29].
ROCO_81839	 The patient 24 h after the first surgery
ROCO_81841	 Nissen fundoplication positioned cephalad to an aberrant left hepatic artery (arrow).
ROCO_81842	 Acetabular features. An image of a metal acetabular cup, clearly showing the acetabular features which are circled in red
ROCO_81843	 The peek-forked tip of the lateral anchor is in the threaded anchor hole. Threads filled with fibrous tissue can be seen
ROCO_81844	 High-power LED with micro sensors.
ROCO_81845	 Foraminal view MRI of L5–S1 right side.
ROCO_81846	 Example of a modern artwork that lacks visual beauty (Fountain by Duchamps, 1917, © Succession Marcel Duchamp/VG Bild-Kunst and Bonn, 2015). Many art historians consider this porcelain urinal a major landmark artwork of modern art. Its importance in art history stems not so much from the intrinsic beauty of its form, but from the fact that the artist transcended traditional artistic principles and thereby set the stage for modern conceptual art. In the process of establishing (post-)modern art, many artists abandoned the concept of beauty as a prerequisite for artworks. In the model, this is reflected in the decrease or absence of perceptual processing. As a result, aesthetic experience is determined largely by the content and context of the artwork (i.e., predominant aesthetics of cognition), irrespective of its form.
ROCO_81847	 The skin site is prepped and draped in a sterile fashion.
ROCO_81848	 AC-luminescence after heat treatment at 500 ∘C; light taken up by a fibre spectrometer.
ROCO_81849	 Arthroscopic visualization of capsular fold at mouth of the cyst
ROCO_81850	 Patient in the computed tomography-room during the percutaneous cryoablation procedure.
ROCO_81852	 Film viewed in a viewing box for the relationship between the images of two wires in a bucco-lingual direction
ROCO_81854	 Transmission electron micrograph of an ultramicrotomed MSN-Gd3+-DG. The layer of DG can be visualized by the rim of amphorous structure surrounding the MSN core with mesopores packed in a hexgonal symmetry.Abbreviations: DG, D glucosamine; MSN, mesoporous silica nanospheres; MSN-Gd3+-DG, mesoporous silica nanospheres loaded with Gd3+ and conjugated with glucosamine.
ROCO_81855	 Illustration showing the modified Wiltse muscle-sparing approach. Note the approach between the multifidus and longissimus muscles.
ROCO_81856	 SYY stresses
ROCO_81858	 Reflective motion capture markers and inertial measurement unit (IMU) sensors attached to a horse in standardised locations. The IMU sensors were attached to the right lateral metatarsal and metacarpal bones, one reflective marker was placed above and beneath each sensor. Also, three markers were attached to the right fore‐ and right hind hooves (heel, lateral toe and lateral coronet), but only the lateral heel and lateral toe markers were used for the motion capture detection algorithm in the current study.
ROCO_81860	 Insertion of 6 Fr dilator over the wire following femoral vessel access
ROCO_81861	 Fused images (BiopSee® 0.9.14 software): reference image (acquisition made using an Endocavity balloon filled with water) and image from acquisition made utilizing a Silicone Standoff kit at reference plane at 5 MHz
ROCO_81863	 CSOM incidence rate estimates for the year 2005 per thousand people, by the 21 WHO regions.
ROCO_81864	 FOA resistant colonies on YNB plates. Approximately 107 mutagenized cells (10% survival) were plated on YNB-FOA -UU plates. The resistant colonies appeared after 5-7 days
ROCO_81865	 Corneal epithelial erosion
ROCO_81868	 (A) Lateral radiography shows severe kyphosis resulting from significant destruction of two contiguous vertebral segments by tuberculosis infection in the thoracolumbar junction (Modified from Rahimi-Movaghar [15], with permission from Faculty of Medicine, Tehran University of Medical Sciences). (B) Schematic representation of the pathology, affecting the intervertebral disc, vertebral bodies, and anterior paravertebral region (orange). The posterior elements are also involved. As a result of such a significant deformity, noticeable compression endangers spinal cord (yellow).
ROCO_81869	 Three-dimensional reconstruction of the maxillofacial skeleton showing gross destruction and displacement of the osseous structures
ROCO_81870	 Obverse macroscopic colony morphology of Bipolaris australiensis on Sabouraud dextrose agar after 7 days of incubation at 25°C showed spreading, gray to brownish black, velvety texture colonies
ROCO_81871	 Intraocular lens implant deposits under low magnification
ROCO_81872	 (a) Photograph of thick blood tinged yellowish aspirate from the cystic cavity, (b) photomicrograph of smear showing fibrinopurulent background with acute and chronic inflammatory cells
ROCO_81873	 Post-operative photograph demonstrating positioning of “lateral” sticker indicating centre of X-ray beam
ROCO_81874	 Achilles tendoscopy for non-insertional tendinopathy. A probe is used to release adhesions around the tendon.
ROCO_81875	 The urinary catheter drainage system with changing color from red to purple and sometimes with differently colored tube and bag in case 3 with purple urine bag syndrome.
ROCO_81877	 3 months follow-up.
ROCO_81878	 Sample of threshold segmentation highlighting the region of interest, using Materialise: MIMICS. This slice is the inferior portion of mandibular body (transverse plane).
ROCO_81879	 Susceptibility testing of Enterobacter cloacae to carbapenems. Both methods had ill-defined zones of inhibition with inner colonies growing up to the disks or the E-test strips, respectively.
ROCO_81880	 Illustration of the concept of memory reconsolidation. The consolidated drug memory, established by repeated Pavlovian association with an environmental stimulus (CS) and self-administered drug effect, is stored in a stable state. Brief presentations of the drug CS (called ‘reactivation’) can result in destabilization of the memory in the brain (in the case of a CS–drug memory, in the basolateral amygdala). The memory can persist in the brain if it is restabilized through de novo protein synthesis. The protein ZIF268 is a requirement of cued drug memory reconsolidation in the basolateral amygdala and is regulated by activation of NMDA receptors. Memory reconsolidation can be prevented by inhibiting protein synthesis in the amygdala, or knocking down ZIF268 by infusing zif268 antisense oligonucleotides, or by blocking NMDA or β-adrenoceptors. Systemic NMDA or β-adrenoceptor blockade also prevents drug memory reconsolidation. The result is drug memory ‘erasure’ with the consequence that the drug-associated CS can no longer support drug seeking and thereby prevents relapse (see Milton & Everitt, 2010, for review).
ROCO_81881	 Left knee showing obvious step and high-riding patella.
ROCO_81882	 3D model of the implant prepared based on software program including the date of the patient’s computed tomography scan.
ROCO_81883	 Intermediate power microscopic image depicting metastatic tumor cells involving superficial dermal lymphatics.
ROCO_81885	 Calculation of the marginal probability of the verb appearing in any sentence in the corpus.
ROCO_81886	 Normal acini: “Coffee bean aspect”
ROCO_81887	 The locations of the ROIs on the visual cortex.(A) A central view of the inflated cortex shows V1 region, shown with dash lines. The 10 ROIs in V1 are indicated by the colored disks. The yellow disk corresponded to the central position. The red disks corresponded to the ROIs of the contralateral horizontal positions, the blue disks corresponded to the ROIs of the upper vertical positions, and the green disks corresponded to ROIs of the lower vertical positions. (B) The ventral view of the inflated cortex shows the locations of FFA and PPA. The face-selective area is shown by the red-yellow color, and the house-selective area is shown by the blue-cyan color.
ROCO_81891	 CT angiography showing agenesis of abdominal aorta, collaterals reconstituting the lower abdominal aorta and the aneurysm from gastroduodenal artery.
ROCO_81892	 Failure to digitize the anterior iliac spines correctly can introduce systematic error. A difference of one centimeters ("b") between the right and left ASIS introduces an error of 2.5 and a difference of two centimeters ("b") can result in a 5 degree error for inclination.
ROCO_81893	 All restorations without microleakage (discoloration).
ROCO_81895	 PDMS surface electrode.
ROCO_81896	 DTI study of hippocampus using ROI drawn on workstation at contiguous three slices on coronal images. FA and ADC values were obtained from the average of these three slices.
ROCO_81897	 Mid embolization angiograph showing some reduction of blush.
ROCO_81898	 The sample of the multilayered film.
ROCO_81899	 The sling should be draped over the patient as shown here. An easy mnemonic to remember is that “blue (like the sky) lies north.”
ROCO_81900	 Fabrication
ROCO_81901	 Anastomosis of the sigmoid colon with genital skin flaps, deeply hidden.
ROCO_81903	 Centrifugation of overlaid blood at 600 rpm
ROCO_81904	 Dorsiflexion and plantarflexion strength setup
ROCO_81905	 Rugae pattern analysis using dental cast of subjects
ROCO_81907	 In this figure of the left eye under pupilar midriasis we can see a subluxated nasally and superiorly along with a three piece intraocular lens inside the bag.
ROCO_81909	 Nasogastric tube inside the glottis
ROCO_81910	 Intraoperative setting during the 3D scan with the elbow in the isocentre of the C-arm. The operating room personnel can stand outside the controlled area
ROCO_81911	 Open Infusion Container - Glass container with air filter.
ROCO_81912	 Gabriele Falloppia's portrait in the “Hall of Medicine” at the Bo Palace of the University of Padua.
ROCO_81913	 Anklebot. The figure identifies the main components of the device.
ROCO_81914	 Images of vertebrae sections from two individuals showing band pairs.A = Female with 2 BPs; B = Male with 9 BPs.
ROCO_81915	 RADARSAT-1 image (Kaohsiung, Taiwan, acquired by RADARSAT-1 in FINE mode).
ROCO_81916	 Output of the NeuroLex (a) and SBA Lookup (b) plugins, both with Th (Thalamus) as the selected region
ROCO_81917	 Preoperative flexible endoscopic view of the diverticulum.
ROCO_81918	 SEM of Solenopsis elhawagryi sp. n. major worker, mesosoma in profile.
ROCO_81919	 Color photograph of case 1 taken 3 months after deep anterior lamellar keratoplasty. The arrow marks a Descemet’s membrane flap created by macroperforation during attempted pneumatic injection. No corneal edema is noted in the affected area
ROCO_81920	 Keratocytes generate large traction forces orthogonal to the direction of migration. Keratocytes generate forces perpendicular to the direction of migration as indicated by wrinkles that are parallel to the direction of motion. Deformable substratum were made by cross-linking Dow Corning 710 fluid. The stiffness of the substrata was decreased by exposure to 254 nm UV light (Burton and Taylor 1997). Keratocytes generate wrinkles that are parallel to the direction of motion, indicating that the largest traction forces are perpendicular to the direction of motion. Bar, 10 μm.
ROCO_81921	 Original gallbladder fossa shown with absent gallbladder.
ROCO_81923	 Control group. After 6 weeks, partial defect closure and new thin cortical bone were observed. The bone growth originated in the borders of the defect. The ROI2 area was completely filled by CT, and no bone formation was appreciated inside the marrow space. Toluidine blue staining, magnification ×5. CT, connective tissue or its space; MB, mature bone; NB, new bone; ROI, region of interest.
ROCO_81924	 Anterior chamber gas bubble formation during femtosecond laser flap creation for LASIK. Femtosecond laser scout view of the cornea immediately after the femtosecond laser treatment. Note the small anterior chamber bubbles in the upper left-hand corner of the image (black arrow) as well as the 360-degree ring of opaque bubble layer that dissected toward the peripheral cornea until termination at Schwalbe's line (white arrow).
ROCO_81925	 Primary medial collateral ligament repair using suture-based internal bracing system.Note: This image provided courtesy of Arthrex, Inc.
ROCO_81927	 Krukenberg spindle is a spindle-shaped, vertical deposit of chocolate-brown colored pigment in the cornea (arrow)
ROCO_81928	 (a) Preoperative radiograph shows a large carious lesion associated with a condensing apical periodontitis. (b–d) Six months, 1 year and 2 years follow-up radiographs, respectively; a complete resolution of condensing apical periodontitis is evident. Note the existence of a dentinal bridge beneath the CEM cement; the remaining pulp canal space does not obliterated
ROCO_81930	 Axial T2W MRI. (A) No invasion: Solid arrow shows clear plane with prostate that shows normal signal intensity (dashed arrow). (B) Definite invasion: Tumor (*) invades prostate showing altered signal (arrow). (C) Possible invasion of prostate in midline (arrow) by tumor (*)
ROCO_81931	 Opening for electric arc welding activity.
ROCO_81932	  Settings of the Foley Airway Stylet Tool® (FAST) in a ProSeal LMA. The atraumatic tip of the stylet can be seen protruding from the distal end of the drainage tube; the flexible portion of the stylet extends 5–6 cm beyond the cuff.
ROCO_81934	 Cardiac CT of the truncus pulmonalis (TP) and principal branches: dilated TP (40mm), dilated RPA (28mm), thrombotic material in TP, massive occlusive thrombus in RPA, and multiple thrombi in secondary branches.
ROCO_81936	 Under polarized light, the entangled hair shows brilliant birefringence.
ROCO_81939	 Hindfoot extra-articular structures divided into quadrants as defined by the intermalleolar ligament. (1) Fibula, (2) tibia, (3) posterior-inferior tibiofibular ligament (transverse ligament), (4) flexor hallucis longus tendon, (5a) intermalleolar ligament, (5b) superior tibial insertion of the intermalleolar ligament, (6) tibiotalar joint, (7) subtalar joint, (8) posterolateral talar process, (9) flexor hallucis longus retinaculum, (10) calcaneofibular ligament, and (11) posterior talofibular ligament. Illustration is a copyright of and reproduced with permission from Kennedy JG, MD. Reproduction without express written consent is prohibited.
ROCO_81940	 View of the anteromedial (AM) and posterolateral (PL) femoral tunnels, through the anteromedial arthroscopic portal.
ROCO_81941	 Keeping glove-fingers straight, proximal thread tied over the Kelly's clamp
ROCO_81943	 Histological examination shows the presence of diffuse large B cell lymphoma centroblastic variant (HE x 200)
ROCO_81944	 Sample synthetic cannabinoid packaging.
ROCO_81945	 The CBD stone was removed from the abdomen using the choledochoscope.
ROCO_81946	  Electromagnetic bioreactor. Solenoids of the electromagnetic bioreactor with a culture well-plate in the central region.
ROCO_81947	 Representative lesion induced by CCI.
ROCO_81949	 The portion of the OPE that contacts the eye is shown in the fluid-filled and ready-to-use state.Note: The mechanical properties of the plastic used for the construction of this bladder were chosen to match the compliance properties of the eye wall: flexible, but relatively inelastic.Abbreviation: OPE, ocular pressure estimator.
ROCO_81951	 Transverse section at the level of the upper third of the leg. The fascia is the philosophy of the body, meaning each body region is connected to another, whereas osteopathy is the philosophy of medicine: the entire human body must work in harmony. Reproduced with permission anastasi et al. AA VV, anatomia dell’uomo, 4 ed, Edi.ermes, Milano [Human anatomy].114Notes: 1, tibia; 2, muscular loggia; 3, interosseous membrane; 4, fibula; 5, intermuscular septum. All tissues are enveloped by fascial continuity.
ROCO_81953	 Perforation
ROCO_81955	 Fundus photograph of the left optic disc showing gray crescent situated temporally in patient F3 III:24.
ROCO_81956	 A pseudohole suggestive of a defect in the posterior cortex but the posterior capsule remains intact
ROCO_81957	 Postoperative CT head with 3D reconstruction showing reconstruction of anterior cranial floor with the titanium mesh
ROCO_81958	 Axial DW image showing ROI (I(x, y)) and subregions (f(x, y)) on tumor side (area 6, axial slice 13) and contralateral normal side.
ROCO_81959	 Personalised external aortic root support. BCA, brachiocephalic artery; LCA, left coronary artery; RCA, right coronary artery.
ROCO_81962	 Three-dimensionally reconstructed CT-scan of the right femur of a subject without ACL injury. Both the lateral intercondylar ridge and the lateral bifurcate ridge can be identified
ROCO_81963	 A Chimera.
