ROCO_ID,PMC_ID,CC
ROCO_81826,PMC4705725_IJOrtho-49-602-g006.jpg,CC BY-NC-SA
ROCO_81828,PMC3846255_ijo-25-239-g002.jpg,CC BY
ROCO_81829,PMC4275783_gr2.jpg,CC BY-NC-ND
ROCO_81830,PMC4847605_imcrj-9-095Fig5.jpg,CC BY-NC
ROCO_81831,PMC5091095_oed-suppl.1-2016-005f5.jpg,NO-CC CODE
ROCO_81832,PMC5288330_gr2.jpg,CC BY-NC-ND
ROCO_81833,PMC4813407_1413-7852-aob-23-02-00072-gf03.jpg,CC BY
ROCO_81836,PMC3350065_CRIM.GM2012-438525.001.jpg,CC BY
ROCO_81837,PMC2766872_IJRI-19-191-g002.jpg,CC BY
ROCO_81838,PMC3119172_1742-9994-8-10-4.jpg,CC BY
ROCO_81839,PMC4692823_PDIA-32-25941-g004.jpg,CC BY-NC-ND
ROCO_81841,PMC3016120_jsls-10-2-180-g02.jpg,CC BY-NC-ND
ROCO_81842,PMC4520185_12891_2015_622_Fig3_HTML.jpg,CC BY
ROCO_81843,PMC2907002_IJSS-3-63-g004.jpg,CC BY
ROCO_81844,PMC3274224_sensors-10-03363f9.jpg,CC BY
ROCO_81845,PMC4783480_jkns-59-143-g005.jpg,CC BY-NC
ROCO_81846,PMC4412058_fnhum-09-00218-g010.jpg,CC BY
ROCO_81847,PMC3177433_JCIS-1-30-g005.jpg,CC BY-NC-SA
ROCO_81848,PMC5513471_materials-03-01353-g011.jpg,CC BY
ROCO_81849,PMC4800957_IJOrtho-50-154-g005.jpg,CC BY-NC-SA
ROCO_81850,PMC4500876_cp-2015-2-741-g002.jpg,CC BY-NC
ROCO_81852,PMC4357081_IJDENT-6-7-g005.jpg,CC BY-NC-SA
ROCO_81854,PMC3790884_ijn-8-3383Fig6.jpg,NO-CC CODE
ROCO_81855,PMC4365577_SAS-1-2002-0101-RR-g004.jpg,CC BY-NC-ND
ROCO_81856,PMC4955038_ijcpd-03-005-g011.jpg,CC BY
ROCO_81858,PMC5484301_EVJ-49-545-g001.jpg,CC BY-NC
ROCO_81860,PMC4472648_40119_2014_34_Fig1_HTML.jpg,NO-CC CODE
ROCO_81861,PMC3551363_JCB-3-17926-g005.jpg,CC BY-NC-ND
ROCO_81863,PMC3340347_pone.0036226.g004.jpg,CC BY
ROCO_81864,PMC3572704_AJMB-5-29-g002.jpg,CC BY-NC
ROCO_81865,PMC4495118_PDIA-32-24321-g003.jpg,CC BY-NC-ND
ROCO_81868,PMC3530707_asj-6-294-g001.jpg,CC BY-NC
ROCO_81869,PMC2668591_10006_2008_95_Fig3_HTML.jpg,NO-CC CODE
ROCO_81870,PMC5565883_IJO-65-403-g002.jpg,CC BY-NC-SA
ROCO_81871,PMC3574526_OJO-5-206-g002.jpg,CC BY-NC-SA
ROCO_81872,PMC3227256_JOMFP-15-295-g003.jpg,CC BY-NC-SA
ROCO_81873,PMC5505883_11751_2017_287_Fig2_HTML.jpg,CC BY
ROCO_81874,PMC5367565_eor-1-440-g002.jpg,CC BY-NC
ROCO_81875,PMC2682405_cia-3-729f2.jpg,NO-CC CODE
ROCO_81877,PMC5458709_JOCR-7-91-g009.jpg,CC BY-NC-SA
ROCO_81878,PMC3204416_TOBEJ-5-83_F1.jpg,CC BY-NC
ROCO_81879,PMC3020613_03-0096-F1.jpg,NO-CC CODE
ROCO_81880,PMC4145664_ejn0040-2163-f4.jpg,CC BY
ROCO_81881,PMC4862174_rjw072f01.jpg,CC BY-NC
ROCO_81882,PMC5566894_ott-10-4099Fig2.jpg,CC BY-NC
ROCO_81883,PMC2931350_jcav01p0027g05.jpg,CC BY-NC-ND
ROCO_81885,PMC5141339_publichealth_v2i2e166_fig3.jpg,CC BY
ROCO_81886,PMC4569920_EUS-3-19-g005.jpg,CC BY-NC-SA
ROCO_81887,PMC3749153_pone.0072728.g002.jpg,CC BY
ROCO_81891,PMC5497148_gr1.jpg,CC BY-NC-ND
ROCO_81892,PMC3162566_1749-799X-6-40-4.jpg,CC BY
ROCO_81893,PMC4385685_TSWJ2015-701262.003.jpg,CC BY
ROCO_81895,PMC5107832_JME2016-6931347.006.jpg,CC BY
ROCO_81896,PMC5126436_DM2016-5923243.002.jpg,CC BY
ROCO_81897,PMC4681898_gr7.jpg,CC BY-NC-ND
ROCO_81898,PMC5455571_materials-08-02062-g001.jpg,CC BY
ROCO_81899,PMC5583049_tau-06-04-666-f4.jpg,NO-CC CODE
ROCO_81900,PMC3740671_JPBS-5-176-g002.jpg,CC BY-NC-SA
ROCO_81901,PMC4058296_TSWJ2014-638919.009.jpg,CC BY
ROCO_81903,PMC4993820_ijcpd-03-147-g002.jpg,CC BY
ROCO_81904,PMC5574351_jpts-29-1363-g002.jpg,CC BY-NC-ND
ROCO_81905,PMC4518398_JNSBM-6-306-g001.jpg,CC BY-NC-SA
ROCO_81907,PMC4181168_TOOPHTJ-8-48_F2.jpg,CC BY-NC
ROCO_81909,PMC3439777_IJCCM-16-116-g001.jpg,CC BY-NC-SA
ROCO_81910,PMC4797343_12880_2016_126_Fig1_HTML.jpg,CC BY
ROCO_81911,PMC2829484_1476-0711-9-6-1.jpg,CC BY
ROCO_81912,PMC4762440_gcsp-2015-05-066-g012.jpg,NO-CC CODE
ROCO_81913,PMC2887457_1743-0003-7-23-1.jpg,CC BY
ROCO_81914,PMC4822963_pone.0153062.g003.jpg,CC BY
ROCO_81915,PMC5038623_sensors-16-01345-g009.jpg,CC BY
ROCO_81916,PMC4469098_12021_2014_9258_Fig5_HTML.jpg,NO-CC CODE
ROCO_81917,PMC3016038_jsls-12-1-104-g02.jpg,CC BY-NC-ND
ROCO_81918,PMC3511483_pone.0049485.g005.jpg,CC BY
ROCO_81919,PMC5075025_717_2016_312_Fig1_HTML.jpg,CC BY
ROCO_81920,PMC2168090_JCB9908114.f1.jpg,CC BY-NC-SA
ROCO_81921,PMC3030800_jsls-13-4-605-g02.jpg,CC BY-NC-ND
ROCO_81923,PMC5130058_ijos20146f5.jpg,CC BY-NC-ND
ROCO_81924,PMC4411458_JOPH2015-542127.001.jpg,CC BY
ROCO_81925,PMC4772947_oajsm-7-021Fig2.jpg,CC BY-NC
ROCO_81927,PMC2886225_OJO-3-36-g001.jpg,CC BY
ROCO_81928,PMC3099125_JCD-14-90-g001.jpg,CC BY-NC-SA
ROCO_81930,PMC4419424_IJRI-25-148-g015.jpg,CC BY-NC-SA
ROCO_81931,PMC3833020_NRP2013-386260.002.jpg,CC BY
ROCO_81932,PMC4247224_12871_2014_317_Fig2_HTML.jpg,CC BY
ROCO_81934,PMC4877912_OAMJMS-3-705-g002.jpg,CC BY
