ROCO_ID,PMC_ID,CC
ROCO_00002,PMC4083729_AMHSR-4-14-g002.jpg,CC BY-NC-SA
ROCO_00003,PMC2837471_IJD2009-150251.001.jpg,CC BY
ROCO_00004,PMC2505281_11999_2007_30_Fig6_HTML.jpg,NO-CC CODE
ROCO_00005,PMC3745845_IJD2013-683423.005.jpg,CC BY
ROCO_00007,PMC4917066_amjcaserep-17-301-g001.jpg,NO-CC CODE
ROCO_00008,PMC4805615_13244_2016_481_Fig12_HTML.jpg,CC BY
ROCO_00009,PMC2584650_1757-1626-1-193-1.jpg,CC BY
ROCO_00010,PMC3283944_JISP-15-414-g006.jpg,CC BY-NC-SA
ROCO_00011,PMC4946383_HI-10-1-25-g003.jpg,CC BY-NC-ND
ROCO_00012,PMC5646151_TOORTHJ-11-882_F2.jpg,CC BY
ROCO_00013,PMC2505289_11999_2007_20_Fig1_HTML.jpg,NO-CC CODE
ROCO_00014,PMC3932583_IJRI-23-379-g009.jpg,CC BY-NC-SA
ROCO_00015,PMC2577646_1757-1626-1-161-1.jpg,CC BY
ROCO_00017,PMC4251391_jpm-03-00203-g013.jpg,CC BY
ROCO_00018,PMC3886396_CRIM.SURGERY2013-642394.002.jpg,CC BY
ROCO_00019,PMC3214859_cmj-47-57-g003.jpg,CC BY-NC
ROCO_00021,PMC4559407_pone.0137109.g004.jpg,CC BY
ROCO_00022,PMC5573896_CEJI-42-30450-g004.jpg,CC BY-NC-SA
ROCO_00023,PMC5443647_cureus-0009-00000001189-i02.jpg,CC BY
ROCO_00024,PMC4603237_JoU-2012-0032-g010.jpg,NO-CC CODE
ROCO_00026,PMC5292174_CRICC2017-8063837.001.jpg,CC BY
ROCO_00028,PMC5409401_AJNS-12-321-g003.jpg,CC BY-NC-SA
ROCO_00029,PMC4627831_cureus-0007-000000000328-i04.jpg,CC BY
ROCO_00030,PMC362879_1471-2466-4-1-1.jpg,NO-CC CODE
ROCO_00032,PMC4495506_IJU-31-259-g004.jpg,CC BY-NC-SA
ROCO_00033,PMC3543206_1752-1947-6-425-2.jpg,CC BY
ROCO_00034,PMC4305616_CRIVAM2015-954217.002.jpg,CC BY
ROCO_00035,PMC5350332_CRIPE2017-6969787.003.jpg,CC BY
ROCO_00037,PMC3448318_medoral-17-e276-g003.jpg,CC BY
ROCO_00038,PMC3113364_CCRP2011-731758.003.jpg,CC BY
ROCO_00039,PMC5075623_CRIVAM2016-7519748.002.jpg,CC BY
ROCO_00040,PMC4665132_SNI-6-180-g010.jpg,CC BY-NC-SA
ROCO_00041,PMC4900114_gr4a.jpg,CC BY-NC-ND
ROCO_00042,PMC4891922_12891_2016_1099_Fig3_HTML.jpg,CC BY
ROCO_00043,PMC5024954_AJUM-18-19-g002.jpg,NO-CC CODE
ROCO_00044,PMC3514928_CCD-3-248-g003.jpg,CC BY-NC-SA
ROCO_00045,PMC4599051_ott-8-2767Fig1.jpg,CC BY-NC
ROCO_00046,PMC4832035_gr1.jpg,CC BY-NC-ND
ROCO_00047,PMC2747406_IJRI-19-36-g009.jpg,CC BY
ROCO_00048,PMC5571395_ijcpd-10-208-g004.jpg,CC BY
ROCO_00049,PMC5123388_40349_2016_76_Fig29_HTML.jpg,CC BY
ROCO_00050,PMC4239440_PAMJ-18-217-g001.jpg,CC BY
ROCO_00051,PMC1555629_ipej030023-02.jpg,CC BY
ROCO_00052,PMC4769813_PAMJ-22-319-g002.jpg,CC BY
ROCO_00053,PMC4500841_270_2014_945_Fig1_HTML.jpg,NO-CC CODE
ROCO_00054,PMC5337315_CRIHEP2017-8567695.001.jpg,CC BY
ROCO_00055,PMC3935260_JCIS-3-60-g019.jpg,CC BY-NC-SA
ROCO_00056,PMC4778881_gox-4-e610-g001.jpg,CC BY-NC-ND
ROCO_00057,PMC3352004_2047-783X-16-7-324-2.jpg,NO-CC CODE
ROCO_00058,PMC317358_1476-7120-1-16-51.jpg,NO-CC CODE
ROCO_00060,PMC3715333_amjcaserep-14-143-g003.jpg,NO-CC CODE
ROCO_00063,PMC3217870_1476-7120-9-29-5.jpg,CC BY
ROCO_00064,PMC3391888_JMedLife-05-179-g003.jpg,CC BY
ROCO_00065,PMC4783562_CRIOR2016-9348032.003.jpg,CC BY
ROCO_00066,PMC4546967_CRIOR2015-301949.003.jpg,CC BY
ROCO_00067,PMC3038692_JBB2011-318346.003.jpg,NO-CC CODE
ROCO_00069,PMC4307671_13256_2014_3068_Fig1_HTML.jpg,CC BY
ROCO_00070,PMC5050230_40902_2016_83_Fig3_HTML.jpg,CC BY
